val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.004455370049214992,197900.41579470597,0.03939810004754592,122589.87451209479
0.018154662112037444,58358.159578848004,0.020742639453229256,40849.49454709276
0.006278038269105178,109451.61551052378,0.018902877208539996,28196.007772113346
0.004455942095551822,93436.66053532696,0.017999761010378094,12751.928421728102
0.008266319939746955,52725.73479800972,0.017338483836438698,20955.926076271186
0.009281699411609333,49841.453207844635,0.016507118662535136,14938.299469544492
0.007302699235907174,52802.50971039524,0.01566568116187039,20120.974896761618
0.0034805835041535928,77272.17636116243,0.014506849049764164,39235.52107393633
0.006954925197025804,55591.613177066596,0.014056158656285981,14909.988036920322
0.007174410599889593,52356.49733767473,0.013001416632810892,23960.956702131887
0.004515042260365805,97171.92697245542,0.013546497154286352,19964.733545144292
0.008018231028954291,50419.51296392995,0.012077750584205328,17717.48520254827
0.006204586914216185,56240.38137401591,0.011505621105811353,16682.71006067774
0.004254903971124201,98355.4149298582,0.01142020638362836,18698.004945709745
0.014058727466987306,42822.60745702121,0.010806981098222531,23801.425073838574
0.004102914274495411,101526.27756717947,0.010732835961853043,19485.233687250427
0.009369083210959993,47987.697482778356,0.01006677746646485,16253.919995610124
0.003012957706793683,77964.3280095196,0.009492442174483154,13842.178641204833
0.005017005837256697,61610.977360821016,0.009613643975076028,24216.173813228284
0.0035001201014056,98738.09143537114,0.00892413346557799,18148.852642801576
0.0041016868140864495,105537.41336459672,0.008215889174428026,15511.10081938611
0.003774680319340339,62545.49025947943,0.008354132531936896,22736.486372318075
0.004844017202336255,110733.34025797316,0.007655564258348639,40473.5452805018
0.0061966509972447605,56547.20423963689,0.007761979809378163,19948.77841673822
0.004540681293124098,102217.10333612829,0.007409770679549645,18236.45806506477
0.006260350479440319,118133.93644561376,0.006583270660648912,24484.79155144617
0.006132261440933593,60066.849694730074,0.0069499277489543975,23505.62144330403
0.0028551019929291964,81470.55980378373,0.0065475654020526654,27455.53143718422
0.0038541103509712035,91730.57046689227,0.0061276469147937785,21804.196294863425
0.0032197397476382995,93477.40739225177,0.006031875345919092,16031.45190537611
0.004323018414320323,65741.76076729194,0.006141701989949255,19228.165666181143
0.006119912044937629,103561.94142131266,0.0057796184637789,14188.31601279721
0.005535599458388084,56985.97731688825,0.005692809394039845,22222.543911635577
0.0036004128133289154,95565.62165232367,0.005562420876854557,22992.078265500862
0.002875485713054979,71483.51507270244,0.005384202696951264,23894.74621227717
0.004669550492650899,84130.25787526109,0.005000968809476343,22160.807933943408
0.007539704747277774,132588.38749698747,0.004849538975158486,18245.061063977257
0.003513817349807922,70764.4680156953,0.004968704007755397,21137.4368048825
0.003515967990302871,99594.92886030888,0.00486400918283705,19267.859608117054
0.004751052774469773,55599.67883143879,0.004725888029751131,23805.49783671699
0.005775036771511204,55116.594449158496,0.004611615829990577,15752.202232309892
0.00270157865042724,72321.52651781411,0.004269608891679574,15714.411163064213
0.003004342299625086,79806.34030065071,0.0045320667377594165,13575.817566412457
0.00349595219706087,89833.85059346883,0.004122061770535626,18169.63628698575
0.0029328856826700022,68073.625266107,0.00408291841951846,19275.509340017805
0.0030681810672167488,84769.70548983772,0.004326984704803612,19818.42978775076
0.003429795447186325,84680.66116795871,0.003906339409997908,18271.635776152012
0.005088855330485151,50250.729735700515,0.004046280644455199,24154.35084393621
0.003876683860059569,55304.92924189629,0.0038500359699887745,16749.205225984475
0.004297148931896012,101275.78456880624,0.0037937466535654107,16827.633810385236
0.0030017987918348117,67150.11295614757,0.0038402122904751764,22343.22968479945
0.004534748075218694,89798.81084561777,0.0037391614977080943,16569.225386365986
0.004436268248525867,54969.946211238755,0.0036615504919219827,19856.518152237197
0.0028515042495317663,65353.07052212203,0.0035042632610174053,18001.73789279149
0.003090591952180763,83049.41612357406,0.003499248632908625,24018.637899560184
0.0028806354444722974,87320.82593840377,0.0035438330130872584,26356.74890990073
0.0029609878685153005,65018.87446025466,0.0035413523048667584,22237.676483493095
0.0027483161269497977,71886.20947642192,0.003531685689022228,25332.46451143478
0.0027524979592356016,70865.78675414725,0.0033945567816243334,15311.389075542902
0.0029229487670743527,59172.64781491002,0.003414212474631051,11719.651018023475
0.002786707617869184,65076.712163851626,0.0033118761011667677,14004.068144189867
0.002956211942207346,75170.05986905527,0.003370708111863015,14426.614479459084
0.004694423538927171,50080.24551132712,0.003221483580831249,17494.39930228023
